,paper,arxiv_id,task,type,value,additional_info
28,0_paper_7,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
29,0_paper_8,1704.08545,Real-Time Semantic Segmentation,data_name,Cityscapes,
30,0_paper_8,1704.08545,Real-Time Semantic Segmentation,data_name,CamVid,
31,0_paper_8,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
32,0_paper_8,1704.08545,Real-Time Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
33,0_paper_9,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
34,0_paper_9,1502.03240,Real-Time Semantic Segmentation,data_name,Cityscapes,
35,0_paper_9,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL Context,
36,0_paper_9,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
37,0_paper_9,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
38,0_paper_10,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
39,0_paper_10,1502.03240,Real-Time Semantic Segmentation,data_name,Cityscapes,
40,0_paper_10,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL Context,
41,0_paper_10,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
42,0_paper_10,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
43,0_paper_11,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
44,0_paper_11,1502.03240,Real-Time Semantic Segmentation,data_name,Cityscapes,
45,0_paper_11,1502.03240,Real-Time Semantic Segmentation,data_name,PASCAL Context,
46,0_paper_11,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
47,0_paper_11,1502.03240,Real-Time Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
48,0_paper_12,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
49,0_paper_12,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
50,0_paper_12,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
51,0_paper_12,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
52,0_paper_12,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
53,0_paper_12,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
54,0_paper_12,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
55,0_paper_12,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
56,0_paper_13,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
57,0_paper_13,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
58,0_paper_13,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
59,0_paper_13,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
60,0_paper_13,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
61,0_paper_13,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
62,0_paper_13,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
63,0_paper_13,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
64,0_paper_14,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
65,0_paper_14,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
66,0_paper_14,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
67,0_paper_14,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
68,0_paper_14,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
69,0_paper_14,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
70,0_paper_14,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
71,0_paper_14,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
72,0_paper_15,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
73,0_paper_15,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
74,0_paper_15,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
75,0_paper_15,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
76,0_paper_15,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
77,0_paper_15,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
78,0_paper_15,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
79,0_paper_15,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
80,0_paper_16,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
81,0_paper_16,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
82,0_paper_16,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
83,0_paper_16,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
84,0_paper_16,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
85,0_paper_16,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
86,0_paper_16,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
87,0_paper_16,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
88,0_paper_17,1511.07122,Real-Time Semantic Segmentation,data_name,PASCAL VOC 2012,
89,0_paper_17,1511.07122,Real-Time Semantic Segmentation,data_name,Cityscapes,
90,0_paper_17,1511.07122,Real-Time Semantic Segmentation,data_name,ADE20K,
91,0_paper_17,1511.07122,Real-Time Semantic Segmentation,data_name,CamVid,
92,0_paper_17,1511.07122,Real-Time Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
93,0_paper_17,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
94,0_paper_17,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
95,0_paper_17,1511.07122,Real-Time Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
96,1_paper_0,1611.08323,Semantic Segmentation,data_name,Cityscapes,
97,1_paper_0,1611.08323,Semantic Segmentation,approach_name,FRRN,Real-Time Semantic Segmentation
98,1_paper_0,1611.08323,Semantic Segmentation,approach_name,FRRN,Semantic Segmentation
99,1_paper_1,1804.09337,Semantic Segmentation,data_name,PASCAL VOC 2012,
100,1_paper_1,1804.09337,Semantic Segmentation,data_name,Cityscapes,
101,1_paper_1,1804.09337,Semantic Segmentation,approach_name,Smooth Network with Channel Attention Block,Semantic Segmentation
102,1_paper_2,1804.09337,Semantic Segmentation,data_name,PASCAL VOC 2012,
103,1_paper_2,1804.09337,Semantic Segmentation,data_name,Cityscapes,
104,1_paper_2,1804.09337,Semantic Segmentation,approach_name,Smooth Network with Channel Attention Block,Semantic Segmentation
105,1_paper_3,1704.08545,Semantic Segmentation,data_name,Cityscapes,
106,1_paper_3,1704.08545,Semantic Segmentation,data_name,CamVid,
107,1_paper_3,1704.08545,Semantic Segmentation,approach_name,ICNet,Semantic Segmentation
108,1_paper_3,1704.08545,Semantic Segmentation,approach_name,ICNet,Real-Time Semantic Segmentation
109,1_paper_4,1504.01013,Semantic Segmentation,data_name,PASCAL Context,
110,1_paper_4,1504.01013,Semantic Segmentation,approach_name,Piecewise,Semantic Segmentation
111,1_paper_5,1506.04579,Semantic Segmentation,data_name,PASCAL VOC 2012,
112,1_paper_5,1506.04579,Semantic Segmentation,data_name,PASCAL Context,
113,1_paper_5,1506.04579,Semantic Segmentation,approach_name,ParseNet ,Semantic Segmentation
114,1_paper_5,1506.04579,Semantic Segmentation,approach_name,ParseNet,Semantic Segmentation
115,1_paper_6,1506.04579,Semantic Segmentation,data_name,PASCAL VOC 2012,
116,1_paper_6,1506.04579,Semantic Segmentation,data_name,PASCAL Context,
117,1_paper_6,1506.04579,Semantic Segmentation,approach_name,ParseNet ,Semantic Segmentation
118,1_paper_6,1506.04579,Semantic Segmentation,approach_name,ParseNet,Semantic Segmentation
119,1_paper_7,1707.02968,Semantic Segmentation,data_name,PASCAL VOC 2012,
120,1_paper_7,1707.02968,Semantic Segmentation,data_name,ImageNet,
121,1_paper_7,1707.02968,Semantic Segmentation,approach_name,ImageNet JFT-300M Initialization,Semantic Segmentation
122,1_paper_7,1707.02968,Semantic Segmentation,approach_name,JFT-300M Finetuning,Image Classification
123,1_paper_8,1712.02616,Semantic Segmentation,data_name,Cityscapes,
124,1_paper_8,1712.02616,Semantic Segmentation,approach_name,Mapillary,Semantic Segmentation
125,1_paper_9,1502.03240,Semantic Segmentation,data_name,PASCAL VOC 2012,
126,1_paper_9,1502.03240,Semantic Segmentation,data_name,Cityscapes,
127,1_paper_9,1502.03240,Semantic Segmentation,data_name,PASCAL Context,
128,1_paper_9,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
129,1_paper_9,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
130,1_paper_10,1502.03240,Semantic Segmentation,data_name,PASCAL VOC 2012,
131,1_paper_10,1502.03240,Semantic Segmentation,data_name,Cityscapes,
132,1_paper_10,1502.03240,Semantic Segmentation,data_name,PASCAL Context,
133,1_paper_10,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
134,1_paper_10,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
135,1_paper_11,1502.03240,Semantic Segmentation,data_name,PASCAL VOC 2012,
136,1_paper_11,1502.03240,Semantic Segmentation,data_name,Cityscapes,
137,1_paper_11,1502.03240,Semantic Segmentation,data_name,PASCAL Context,
138,1_paper_11,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Real-Time Semantic Segmentation
139,1_paper_11,1502.03240,Semantic Segmentation,approach_name,CRF-RNN,Semantic Segmentation
140,1_paper_12,1511.07122,Semantic Segmentation,data_name,PASCAL VOC 2012,
141,1_paper_12,1511.07122,Semantic Segmentation,data_name,Cityscapes,
142,1_paper_12,1511.07122,Semantic Segmentation,data_name,ADE20K,
143,1_paper_12,1511.07122,Semantic Segmentation,data_name,CamVid,
144,1_paper_12,1511.07122,Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
145,1_paper_12,1511.07122,Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
146,1_paper_12,1511.07122,Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
147,1_paper_12,1511.07122,Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
148,1_paper_13,1511.07122,Semantic Segmentation,data_name,PASCAL VOC 2012,
149,1_paper_13,1511.07122,Semantic Segmentation,data_name,Cityscapes,
150,1_paper_13,1511.07122,Semantic Segmentation,data_name,ADE20K,
151,1_paper_13,1511.07122,Semantic Segmentation,data_name,CamVid,
152,1_paper_13,1511.07122,Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
153,1_paper_13,1511.07122,Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
154,1_paper_13,1511.07122,Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
155,1_paper_13,1511.07122,Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
156,1_paper_14,1511.07122,Semantic Segmentation,data_name,PASCAL VOC 2012,
157,1_paper_14,1511.07122,Semantic Segmentation,data_name,Cityscapes,
158,1_paper_14,1511.07122,Semantic Segmentation,data_name,ADE20K,
159,1_paper_14,1511.07122,Semantic Segmentation,data_name,CamVid,
160,1_paper_14,1511.07122,Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
161,1_paper_14,1511.07122,Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
162,1_paper_14,1511.07122,Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
163,1_paper_14,1511.07122,Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
164,1_paper_15,1511.07122,Semantic Segmentation,data_name,PASCAL VOC 2012,
165,1_paper_15,1511.07122,Semantic Segmentation,data_name,Cityscapes,
166,1_paper_15,1511.07122,Semantic Segmentation,data_name,ADE20K,
167,1_paper_15,1511.07122,Semantic Segmentation,data_name,CamVid,
168,1_paper_15,1511.07122,Semantic Segmentation,approach_name,DilatedNet,Semantic Segmentation
169,1_paper_15,1511.07122,Semantic Segmentation,approach_name,Dilation10,Real-Time Semantic Segmentation
170,1_paper_15,1511.07122,Semantic Segmentation,approach_name,Dilated Convolutions,Semantic Segmentation
171,1_paper_15,1511.07122,Semantic Segmentation,approach_name,Dilation10,Semantic Segmentation
172,2_paper_0,1606.04797,Volumetric Medical Image Segmentation,data_name,PROMISE 2012,
173,2_paper_0,1606.04797,Volumetric Medical Image Segmentation,approach_name,V-Net   Dice-based loss,Volumetric Medical Image Segmentation
174,3_paper_0,,Question Answering,data_name,CNN   Daily Mail,
175,3_paper_0,,Question Answering,data_name,Quasar,
176,3_paper_0,,Question Answering,data_name,SQuAD1 1,
177,3_paper_0,,Question Answering,data_name,NarrativeQA,
178,3_paper_0,,Question Answering,data_name,MS MARCO,
179,3_paper_0,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
180,3_paper_0,,Question Answering,approach_name,BiDAF,Question Answering
181,3_paper_0,,Question Answering,approach_name,BiDaF Baseline,Question Answering
182,3_paper_0,,Question Answering,approach_name,BiDAF  single model ,Question Answering
183,3_paper_0,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
184,3_paper_1,,Question Answering,data_name,CNN   Daily Mail,
185,3_paper_1,,Question Answering,data_name,Quasar,
186,3_paper_1,,Question Answering,data_name,SQuAD1 1,
187,3_paper_1,,Question Answering,data_name,NarrativeQA,
188,3_paper_1,,Question Answering,data_name,MS MARCO,
189,3_paper_1,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
190,3_paper_1,,Question Answering,approach_name,BiDAF,Question Answering
191,3_paper_1,,Question Answering,approach_name,BiDaF Baseline,Question Answering
192,3_paper_1,,Question Answering,approach_name,BiDAF  single model ,Question Answering
193,3_paper_1,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
194,3_paper_2,,Question Answering,data_name,CNN   Daily Mail,
195,3_paper_2,,Question Answering,data_name,Quasar,
196,3_paper_2,,Question Answering,data_name,SQuAD1 1,
197,3_paper_2,,Question Answering,data_name,NarrativeQA,
198,3_paper_2,,Question Answering,data_name,MS MARCO,
199,3_paper_2,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
200,3_paper_2,,Question Answering,approach_name,BiDAF,Question Answering
201,3_paper_2,,Question Answering,approach_name,BiDaF Baseline,Question Answering
202,3_paper_2,,Question Answering,approach_name,BiDAF  single model ,Question Answering
203,3_paper_2,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
204,3_paper_3,,Question Answering,data_name,CNN   Daily Mail,
205,3_paper_3,,Question Answering,data_name,Quasar,
206,3_paper_3,,Question Answering,data_name,SQuAD1 1,
207,3_paper_3,,Question Answering,data_name,NarrativeQA,
208,3_paper_3,,Question Answering,data_name,MS MARCO,
209,3_paper_3,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
210,3_paper_3,,Question Answering,approach_name,BiDAF,Question Answering
211,3_paper_3,,Question Answering,approach_name,BiDaF Baseline,Question Answering
212,3_paper_3,,Question Answering,approach_name,BiDAF  single model ,Question Answering
213,3_paper_3,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
214,3_paper_4,,Question Answering,data_name,CNN   Daily Mail,
215,3_paper_4,,Question Answering,data_name,Quasar,
216,3_paper_4,,Question Answering,data_name,SQuAD1 1,
217,3_paper_4,,Question Answering,data_name,NarrativeQA,
218,3_paper_4,,Question Answering,data_name,MS MARCO,
219,3_paper_4,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
220,3_paper_4,,Question Answering,approach_name,BiDAF,Question Answering
221,3_paper_4,,Question Answering,approach_name,BiDaF Baseline,Question Answering
222,3_paper_4,,Question Answering,approach_name,BiDAF  single model ,Question Answering
223,3_paper_4,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
224,3_paper_5,,Question Answering,data_name,CNN   Daily Mail,
225,3_paper_5,,Question Answering,data_name,Quasar,
226,3_paper_5,,Question Answering,data_name,SQuAD1 1,
227,3_paper_5,,Question Answering,data_name,NarrativeQA,
228,3_paper_5,,Question Answering,data_name,MS MARCO,
229,3_paper_5,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
230,3_paper_5,,Question Answering,approach_name,BiDAF,Question Answering
231,3_paper_5,,Question Answering,approach_name,BiDaF Baseline,Question Answering
232,3_paper_5,,Question Answering,approach_name,BiDAF  single model ,Question Answering
233,3_paper_5,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
234,3_paper_6,,Question Answering,data_name,CNN   Daily Mail,
235,3_paper_6,,Question Answering,data_name,Quasar,
236,3_paper_6,,Question Answering,data_name,SQuAD1 1,
237,3_paper_6,,Question Answering,data_name,NarrativeQA,
238,3_paper_6,,Question Answering,data_name,MS MARCO,
239,3_paper_6,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
240,3_paper_6,,Question Answering,approach_name,BiDAF,Question Answering
241,3_paper_6,,Question Answering,approach_name,BiDaF Baseline,Question Answering
242,3_paper_6,,Question Answering,approach_name,BiDAF  single model ,Question Answering
243,3_paper_6,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
244,3_paper_7,,Question Answering,data_name,CNN   Daily Mail,
245,3_paper_7,,Question Answering,data_name,Quasar,
246,3_paper_7,,Question Answering,data_name,SQuAD1 1,
247,3_paper_7,,Question Answering,data_name,NarrativeQA,
248,3_paper_7,,Question Answering,data_name,MS MARCO,
249,3_paper_7,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
250,3_paper_7,,Question Answering,approach_name,BiDAF,Question Answering
251,3_paper_7,,Question Answering,approach_name,BiDaF Baseline,Question Answering
252,3_paper_7,,Question Answering,approach_name,BiDAF  single model ,Question Answering
253,3_paper_7,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
254,3_paper_8,,Question Answering,data_name,CNN   Daily Mail,
255,3_paper_8,,Question Answering,data_name,Quasar,
256,3_paper_8,,Question Answering,data_name,SQuAD1 1,
257,3_paper_8,,Question Answering,data_name,NarrativeQA,
258,3_paper_8,,Question Answering,data_name,MS MARCO,
259,3_paper_8,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
260,3_paper_8,,Question Answering,approach_name,BiDAF,Question Answering
261,3_paper_8,,Question Answering,approach_name,BiDaF Baseline,Question Answering
262,3_paper_8,,Question Answering,approach_name,BiDAF  single model ,Question Answering
263,3_paper_8,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
264,3_paper_9,,Question Answering,data_name,CNN   Daily Mail,
265,3_paper_9,,Question Answering,data_name,Quasar,
266,3_paper_9,,Question Answering,data_name,SQuAD1 1,
267,3_paper_9,,Question Answering,data_name,NarrativeQA,
268,3_paper_9,,Question Answering,data_name,MS MARCO,
269,3_paper_9,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
270,3_paper_9,,Question Answering,approach_name,BiDAF,Question Answering
271,3_paper_9,,Question Answering,approach_name,BiDaF Baseline,Question Answering
272,3_paper_9,,Question Answering,approach_name,BiDAF  single model ,Question Answering
273,3_paper_9,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
274,3_paper_10,,Question Answering,data_name,CNN   Daily Mail,
275,3_paper_10,,Question Answering,data_name,Quasar,
276,3_paper_10,,Question Answering,data_name,SQuAD1 1,
277,3_paper_10,,Question Answering,data_name,NarrativeQA,
278,3_paper_10,,Question Answering,data_name,MS MARCO,
279,3_paper_10,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
280,3_paper_10,,Question Answering,approach_name,BiDAF,Question Answering
281,3_paper_10,,Question Answering,approach_name,BiDaF Baseline,Question Answering
282,3_paper_10,,Question Answering,approach_name,BiDAF  single model ,Question Answering
283,3_paper_10,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
284,3_paper_11,,Question Answering,data_name,CNN   Daily Mail,
285,3_paper_11,,Question Answering,data_name,Quasar,
286,3_paper_11,,Question Answering,data_name,SQuAD1 1,
287,3_paper_11,,Question Answering,data_name,NarrativeQA,
288,3_paper_11,,Question Answering,data_name,MS MARCO,
289,3_paper_11,,Question Answering,approach_name,BiDAF,Open-Domain Question Answering
290,3_paper_11,,Question Answering,approach_name,BiDAF,Question Answering
291,3_paper_11,,Question Answering,approach_name,BiDaF Baseline,Question Answering
292,3_paper_11,,Question Answering,approach_name,BiDAF  single model ,Question Answering
293,3_paper_11,,Question Answering,approach_name,BiDAF  ensemble ,Question Answering
294,3_paper_12,1503.03244,Question Answering,data_name,SemEvalCQA,
295,3_paper_12,1503.03244,Question Answering,approach_name,ARC-II,Question Answering
296,3_paper_13,1503.03244,Question Answering,data_name,SemEvalCQA,
297,3_paper_13,1503.03244,Question Answering,approach_name,ARC-II,Question Answering
298,3_paper_14,1805.02220,Question Answering,data_name,MS MARCO,
299,3_paper_14,1805.02220,Question Answering,approach_name,VNET,Question Answering
300,3_paper_15,1805.02220,Question Answering,data_name,MS MARCO,
301,3_paper_15,1805.02220,Question Answering,approach_name,VNET,Question Answering
302,3_paper_16,1511.06038,Question Answering,data_name,QASent,
303,3_paper_16,1511.06038,Question Answering,data_name,WikiQA,
304,3_paper_16,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
305,3_paper_16,1511.06038,Question Answering,approach_name,LSTM,Question Answering
306,3_paper_16,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
307,3_paper_17,1511.06038,Question Answering,data_name,QASent,
308,3_paper_17,1511.06038,Question Answering,data_name,WikiQA,
309,3_paper_17,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
310,3_paper_17,1511.06038,Question Answering,approach_name,LSTM,Question Answering
311,3_paper_17,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
312,3_paper_18,1511.06038,Question Answering,data_name,QASent,
313,3_paper_18,1511.06038,Question Answering,data_name,WikiQA,
314,3_paper_18,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
315,3_paper_18,1511.06038,Question Answering,approach_name,LSTM,Question Answering
316,3_paper_18,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
317,3_paper_19,1511.06038,Question Answering,data_name,QASent,
318,3_paper_19,1511.06038,Question Answering,data_name,WikiQA,
319,3_paper_19,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
320,3_paper_19,1511.06038,Question Answering,approach_name,LSTM,Question Answering
321,3_paper_19,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
322,3_paper_20,1511.06038,Question Answering,data_name,QASent,
323,3_paper_20,1511.06038,Question Answering,data_name,WikiQA,
324,3_paper_20,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
325,3_paper_20,1511.06038,Question Answering,approach_name,LSTM,Question Answering
326,3_paper_20,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
327,3_paper_21,1511.06038,Question Answering,data_name,QASent,
328,3_paper_21,1511.06038,Question Answering,data_name,WikiQA,
329,3_paper_21,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
330,3_paper_21,1511.06038,Question Answering,approach_name,LSTM,Question Answering
331,3_paper_21,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
332,3_paper_22,1511.06038,Question Answering,data_name,QASent,
333,3_paper_22,1511.06038,Question Answering,data_name,WikiQA,
334,3_paper_22,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
335,3_paper_22,1511.06038,Question Answering,approach_name,LSTM,Question Answering
336,3_paper_22,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
337,3_paper_23,1511.06038,Question Answering,data_name,QASent,
338,3_paper_23,1511.06038,Question Answering,data_name,WikiQA,
339,3_paper_23,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
340,3_paper_23,1511.06038,Question Answering,approach_name,LSTM,Question Answering
341,3_paper_23,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
342,3_paper_24,1511.06038,Question Answering,data_name,QASent,
343,3_paper_24,1511.06038,Question Answering,data_name,WikiQA,
344,3_paper_24,1511.06038,Question Answering,approach_name,LSTM  lexical overlap   dist output ,Question Answering
345,3_paper_24,1511.06038,Question Answering,approach_name,LSTM,Question Answering
346,3_paper_24,1511.06038,Question Answering,approach_name,Attentive LSTM,Question Answering
