,Unnamed: 0,paper_1,paper_2,paper_1_id,paper_2_id,arxiv_id_1,arxiv_id_2,task,datasets_diff,approach_diff
10,10,0_paper_9,0_paper_1,18,114,1502.0324,1611.08323,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses CRF-RNN approach for Real-Time Semantic Segmentation, while Article 2 uses FRRN for Real-Time Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
11,11,0_paper_9,0_paper_13,18,116,1502.0324,1511.07122,Real-Time Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses PASCAL Context dataset, while Article 2 uses multiple datasets:  CamVid, and  ADE20K.","sent: Article 1 uses CRF-RNN approach for Real-Time Semantic Segmentation, while Article 2 uses Dilation10 for Real-Time Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Real-Time Semantic Segmentation, while Article 2 uses Dilated Convolutions for Real-Time Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Real-Time Semantic Segmentation, while Article 2 uses DilatedNet for Real-Time Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
12,12,1_paper_2,1_paper_6,20,21,1804.09337,1506.04579,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses Cityscapes dataset, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
13,13,1_paper_2,1_paper_8,20,22,1804.09337,1712.02616,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses PASCAL VOC 2012 dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses Mapillary for Semantic Segmentation."
14,14,1_paper_2,1_paper_3,20,23,1804.09337,1704.08545,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses PASCAL VOC 2012 dataset, while Article 2 uses CamVid dataset.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
15,15,1_paper_2,1_paper_12,20,24,1804.09337,1511.07122,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  CamVid, and  ADE20K.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
16,16,1_paper_2,1_paper_9,20,25,1804.09337,1502.0324,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
17,17,1_paper_2,1_paper_4,20,26,1804.09337,1504.01013,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  Cityscapes, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
18,18,1_paper_2,1_paper_0,20,27,1804.09337,1611.08323,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses PASCAL VOC 2012 dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
19,19,1_paper_2,1_paper_7,20,215,1804.09337,1707.02968,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses Cityscapes dataset, while Article 2 uses ImageNet dataset.","sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses Smooth Network with Channel Attention Block approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
20,20,1_paper_6,1_paper_8,21,22,1506.04579,1712.02616,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context, while Article 2 uses Cityscapes dataset.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses Mapillary for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses Mapillary for Semantic Segmentation."
21,21,1_paper_6,1_paper_3,21,23,1506.04579,1704.08545,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context, while Article 2 uses multiple datasets:  CamVid, and  Cityscapes.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
22,22,1_paper_6,1_paper_12,21,24,1506.04579,1511.07122,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses PASCAL Context dataset, while Article 2 uses multiple datasets:  CamVid,  ADE20K, and  Cityscapes.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
23,23,1_paper_6,1_paper_9,21,25,1506.04579,1502.0324,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses Cityscapes dataset.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
24,24,1_paper_6,1_paper_4,21,26,1506.04579,1504.01013,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 uses PASCAL VOC 2012 dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
25,25,1_paper_6,1_paper_0,21,27,1506.04579,1611.08323,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context, while Article 2 uses Cityscapes dataset.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
26,26,1_paper_6,1_paper_1,21,213,1506.04579,1804.09337,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses PASCAL Context dataset, while Article 2 uses Cityscapes dataset.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation."
27,27,1_paper_6,1_paper_7,21,215,1506.04579,1707.02968,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses PASCAL Context dataset, while Article 2 uses ImageNet dataset.","sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses ParseNet  approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses ParseNet approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
28,28,1_paper_8,1_paper_3,22,23,1712.02616,1704.08545,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses CamVid dataset.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses ICNet for Semantic Segmentation."
29,29,1_paper_8,1_paper_12,22,24,1712.02616,1511.07122,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  CamVid,  PASCAL VOC 2012, and  ADE20K.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses Dilation10 for Semantic Segmentation. sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses Dilated Convolutions for Semantic Segmentation. sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses DilatedNet for Semantic Segmentation."
30,30,1_paper_8,1_paper_9,22,25,1712.02616,1502.0324,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
31,31,1_paper_8,1_paper_4,22,26,1712.02616,1504.01013,Semantic Segmentation,"sent: Article 1 uses Cityscapes dataset, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
32,32,1_paper_8,1_paper_0,22,27,1712.02616,1611.08323,Semantic Segmentation,sent: Article 1 and Article 2 use Cityscapes dataset.,"sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
33,33,1_paper_8,1_paper_5,22,29,1712.02616,1506.04579,Semantic Segmentation,"sent: Article 1 uses Cityscapes dataset, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
34,34,1_paper_8,1_paper_1,22,213,1712.02616,1804.09337,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses PASCAL VOC 2012 dataset.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation."
35,35,1_paper_8,1_paper_7,22,215,1712.02616,1707.02968,Semantic Segmentation,"sent: Article 1 uses Cityscapes dataset, while Article 2 uses multiple datasets:  ImageNet, and  PASCAL VOC 2012.","sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses Mapillary approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
36,36,1_paper_3,1_paper_4,23,26,1704.08545,1504.01013,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  CamVid, and  Cityscapes, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
37,37,1_paper_3,1_paper_5,23,29,1704.08545,1506.04579,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  CamVid, and  Cityscapes, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  PASCAL Context.","sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
38,38,1_paper_3,1_paper_1,23,213,1704.08545,1804.09337,Semantic Segmentation,"sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses CamVid dataset, while Article 2 uses PASCAL VOC 2012 dataset.","sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation."
39,39,1_paper_3,1_paper_7,23,215,1704.08545,1707.02968,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  CamVid, and  Cityscapes, while Article 2 uses multiple datasets:  ImageNet, and  PASCAL VOC 2012.","sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses ICNet approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
40,40,1_paper_12,1_paper_4,24,26,1511.07122,1504.01013,Semantic Segmentation,"sent: Article 1 uses multiple datasets:  CamVid,  PASCAL VOC 2012,  ADE20K, and  Cityscapes, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
41,41,1_paper_12,1_paper_5,24,29,1511.07122,1506.04579,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses multiple datasets:  CamVid,  ADE20K, and  Cityscapes, while Article 2 uses PASCAL Context dataset.","sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
42,42,1_paper_12,1_paper_1,24,213,1511.07122,1804.09337,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses multiple datasets:  CamVid, and  ADE20K, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation."
43,43,1_paper_12,1_paper_7,24,215,1511.07122,1707.02968,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses multiple datasets:  CamVid,  ADE20K, and  Cityscapes, while Article 2 uses ImageNet dataset.","sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses Dilation10 approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses Dilated Convolutions approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses DilatedNet approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
44,44,1_paper_9,1_paper_4,25,26,1502.0324,1504.01013,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 uses multiple datasets:  PASCAL VOC 2012, and  Cityscapes, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses Piecewise for Semantic Segmentation."
45,45,1_paper_9,1_paper_5,25,29,1502.0324,1506.04579,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 uses Cityscapes dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
46,46,1_paper_9,1_paper_1,25,213,1502.0324,1804.09337,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset.sent: Article 1 and Article 2 use Cityscapes dataset. sent: Article 1 uses PASCAL Context dataset, while Article 2 does not use specific datasets for experiments.","sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses Smooth Network with Channel Attention Block for Semantic Segmentation."
47,47,1_paper_9,1_paper_7,25,215,1502.0324,1707.02968,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL VOC 2012 dataset. sent: Article 1 uses multiple datasets:  PASCAL Context, and  Cityscapes, while Article 2 uses ImageNet dataset.","sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses JFT-300M Finetuning for Semantic Segmentation. sent: Article 1 uses CRF-RNN approach for Semantic Segmentation, while Article 2 uses ImageNet JFT-300M Initialization for Semantic Segmentation."
48,48,1_paper_4,1_paper_0,26,27,1504.01013,1611.08323,Semantic Segmentation,"sent: Article 1 uses PASCAL Context dataset, while Article 2 uses Cityscapes dataset.","sent: Article 1 uses Piecewise approach for Semantic Segmentation, while Article 2 uses FRRN for Semantic Segmentation."
49,49,1_paper_4,1_paper_10,26,28,1504.01013,1502.0324,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses multiple datasets:  PASCAL VOC 2012, and  Cityscapes.","sent: Article 1 uses Piecewise approach for Semantic Segmentation, while Article 2 uses CRF-RNN for Semantic Segmentation."
50,50,1_paper_4,1_paper_5,26,29,1504.01013,1506.04579,Semantic Segmentation,"sent: Article 1 and Article 2 use PASCAL Context dataset. sent: Article 1 does not use specific datasets for experiments, while Article 2 uses PASCAL VOC 2012 dataset.","sent: Article 1 uses Piecewise approach for Semantic Segmentation, while Article 2 uses ParseNet  for Semantic Segmentation. sent: Article 1 uses Piecewise approach for Semantic Segmentation, while Article 2 uses ParseNet for Semantic Segmentation."
